Name;Edition;GenKey;VLKey;Note
Windows 10 S;;3NF4D-GF9GY-63VKH-QRC3V-7QW8P;;Until 1803
Windows 10 Starter;Starter;D6RD9-D4N8T-RT9QX-YW6YT-FCWWJ;;
Windows 10 Starter N;StarterN;3NFXW-2T27M-2BDW6-4GHRV-68XRX;;
Windows 10 Home;Core;YTMG3-N6DKC-DKB77-7M9GH-8HVX7;TX9XD-98N7V-6WMQ6-BX7FG-H8Q99;
Windows 10 Home N;CoreN;4CPRK-NM3K3-X6XXQ-RXX86-WXCHW;3KHY7-WNT83-DGQKR-F7HPR-844BM;
Windows 10 Home Single Language;CoreSingleLanguage;BT79Q-G7N6G-PGBYW-4YWX6-6F4BT;7HNRX-D7KGG-3K4RQ-4WPJ4-YTDFH;
Windows 10 Home County Specific;CoreCountrySpecific;N2434-X9D7W-8PF6X-8DV9T-8TYMD;PVMJN-6DFY6-9CCP6-7BKTT-D3WVR;
TEST Core Connected;CoreConnected;GVYN6-BGJDK-RVPMY-YCX4G-D3V2V;DJMYQ-WN6HG-YJ2YX-82JDB-CWFCW;
TEST Core Connected N;CoreConnectedN;23TYN-4T6M8-J86QW-7F2RB-YWQGX;JQNT7-W63G4-WX4QX-RD9M9-6CPKM;
TEST CoreConnectedCountrySpecific;CoreConnectedCountrySpecific;97N7Q-YMY7Q-8MV3C-T97YT-PDJXD;FTNXM-J4RGP-MYQCV-RVM8R-TVH24;
TEST CoreConnectedSingleLanguage;CoreConnectedSingleLanguage;Q6MYN-Y8D89-GHVBR-KXTK3-RJQG6;QQMNF-GPVQ6-BFXGG-GWRCX-7XKT7;
TEST Core ARM;CoreARM;9V76T-NJ3VH-2D2WT-M84D4-F6Y9P;7NX88-X6YM3-9Q3YT-CCGBF-KBVQF;
Windows 10 Pro;Professional;VK7JG-NPHTM-C97JM-9MPGT-3V66T;W269N-WFGWX-YVC9B-4J6C9-T83GX;
Windows 10 Pro N;ProfessionalN;2B87N-8KFHP-DKV6R-Y2C8J-PKCKT;MH37W-N47XK-V7XM9-C7227-GCQG9;
Windows 10 Pro S;ProfessionalS;3NF4D-GF9GY-63VKH-QRC3V-7QW8P;NFDD9-FX3VM-DYCKP-B8HT8-D9M2C;"Same key as ""10 S""?"
Windows 10 Pro S N;ProfessionalSN;KNDJ3-GVHWT-3TV4V-36K8Y-PR4PF;8Q36Y-N2F39-HRMHT-4XW33-TCQR4;
Windows 10 Pro for Workstations;ProfessionalWorkstation;DXG7C-N36C4-C4HTG-X4T3X-2YV77;NRG8B-VKK3Q-CXVCJ-9G2XF-6Q84J;
Windows 10 Pro N for Workstations;ProfessionalWorkstationN;WYPNQ-8C467-V2W6J-TX4WX-WT2RQ;9FNHH-K3HBT-3W4TD-6383H-6XYWF;
Windows 10 Pro Education;ProfessionalEducation;8PTT6-RNW4C-6V7J2-C2D3X-MHBPB;6TP4R-GNPTD-KYYHQ-7B7DP-J447Y;
Windows 10 Pro Education N;ProfessionalEducationN;GJTYN-HDMQY-FRR76-HVGC7-QPF8P;YVWGF-BXNMC-HTQYQ-CPQ99-66QFC;
Windows 10 Pro Single Language;ProfessionalSingleLanguage;G3KNM-CHG6T-R36X3-9QDG6-8M8K9;;
Windows 10 Pro County Specific;ProfessionalCountrySpecific;HNGCC-Y38KG-QVK8D-WMWRK-X86VK;;
TEST Professional Student;ProfessionalStudent;V3NH2-P462J-VT4G4-XD8DD-B973P;YNXW3-HV3VB-Y83VG-KPBXM-6VH3Q;
TEST Professional Student N;ProfessionalStudentN;QJFNY-8Q8BQ-6WQH8-9J3K6-CGXVJ;8G9XJ-GN6PJ-GW787-MVV7G-GMR99;
TEST Professional WMC;ProfessionalWMC;DCNJ8-44Y2Y-Q3JTT-RGX4F-K4TWP;NKPM6-TCVPT-3HRFX-Q4H9B-QJ34Y;
Windows 10 Enterprise;Enterprise;XGVPP-NMH47-7TTHJ-W3FW7-8HV2C;NPPR9-FWDCX-D2C8J-H872K-2YT43;
Windows 10 Enterprise N;EnterpriseN;WGGHN-J84D6-QYCPR-T7PJ7-X766F;DPH2V-TTNVB-4X9Q3-TJR4H-KHJW4;
Windows 10 Enterprise S;EnterpriseS;43TBQ-NH92J-XKTM7-KT3KK-P39PB;M7XTQ-FN8P6-TTKYV-9D4CC-J462D;
Windows 10 Enterprise SN;EnterpriseSN;2D7NQ-3MDXF-9WTDT-X9CCP-CKD8V;92NFX-8DJQP-P6BBQ-THF9C-7CG2H;
Windows 10 Enterprise G;EnterpriseG;FW7NV-4T673-HF4VX-9X4MM-B4H4T;YYVX9-NTFWV-6MDM3-9PT4T-4M68B;Government Edition!?
Windows 10 Enterprise GN;EnterpriseGN;FV469-WGNG4-YQP66-2B2HY-KD8YX;44RPN-FTY23-9VTTB-MP9BX-T84FV;Chinese Government Edition
Windows 10 Enterprise Subscription;EnterpriseSubscription;9NVV6-PPYVR-Q6FRM-9JWDY-8FHYW;;
Windows 10 Enterprise Subscription N;EnterpriseSubscriptionN;N8RDF-KR7J8-9W4M8-R6W7F-PPRBX;;
Windows 10 Enterprise Evaluation;EnterpriseEval;VPMWD-PVNRR-79WJ9-VVJQC-3YH2G;;
Windows 10 Enterprise Evaluation N;EnterpriseNEval;MNXKQ-WY2CT-JWBJ2-T68TQ-YBH2V;;
Windows 10 Enterprise Evaluation S;EnterpriseSEval;N37VK-3DQBV-KGKPC-WYDHP-GQ9PF;;
Windows 10 Enterprise Evaluation S N;EnterpriseSNEval;VXDNG-W2YFG-H224H-CGTKM-CWHWW;;
Windows 10 Education;Education;YNMGQ-8RYV3-4PGQ3-C8XTP-7CFBY;NW6C2-QMPVW-D7KKK-3GKT6-VCFB2;
Windows 10 Education N;EducationN;84NGF-MHBT6-FXBX8-QWJK7-DRR8H;2WH4N-8QGBV-H22JP-CT43Q-MDWWJ;
Windows 10 IoT Enterprise;IoTEnterprise;XQQYW-NFFMW-XJPBH-K8732-CKFFD;;
Windows 10 IoT Enterprise S;IoTEnterpriseS;JH8W6-VMNWP-6QBDM-PBP4B-J9FX9;;
Windows 10 Enterprise 2015 LTSB;Windows 10 Enterprise 2015 LTSB;;WNMTR-4C88C-JK8YV-HQ7T2-76DF9;
Windows 10 Enterprise 2015 LTSB N;Windows 10 Enterprise 2015 LTSB N;;2F77B-TNFGY-69QQF-B8YKP-D69TJ;
Windows 10 Enterprise LTSB 2016;Windows 10 Enterprise LTSB 2016;;DCPHK-NFMTC-H88MJ-PFHPY-QJ4BJ;
Windows 10 Enterprise N LTSB 2016;Windows 10 Enterprise N LTSB 2016;;QFFDN-GRT3P-VKWWX-X7T3R-8B639;
Windows 10 Enterprise LTSC 2019;Windows 10 Enterprise LTSC 2019;;M7XTQ-FN8P6-TTKYV-9D4CC-J462D;
Windows 10 Enterprise N LTSC 2019;Windows 10 Enterprise N LTSC 2019;;92NFX-8DJQP-P6BBQ-THF9C-7CG2H;
Windows 10 Enterprise for Virtual Desktops;ServerRdsh;NJCF7-PW8QT-3324D-688JX-2YV66;CPWHC-NT2C7-VYW78-DHDB2-PG3GK;Windows 10 & Windows Server 2016?
TEST ServerRdshCore;ServerRdshCore;NJCF7-PW8QT-3324D-688JX-2YV66;CPWHC-NT2C7-VYW78-DHDB2-PG3GK;
TEST Cloud E;CloudE;2HN6V-HGTM8-6C97C-RK67V-JQPFD;NBTWJ-3DR69-3C4V8-C26MC-GQ9M6;
TEST Cloud EN;CloudEN;48FWV-TNW4T-CQ6F4-KVGQB-K3D3X;;
TEST Andromeda;Andromeda;C9PDN-TR2KB-MR4DF-3RQ7Y-88HFF;;
TEST OneCoreUpdateOS;OneCoreUpdateOS;NFDPX-3MV8X-THC2X-QQ9QP-P9YY6;;
TEST IoTUAP;IoTUAP;3PNGX-M88FX-8K4B3-2G86G-C9YHY;;
TEST Holographic;Holographic;H4MND-KF7J8-PWBTV-2P3JG-BP4FC;;
TEST PPIPro (Surface Hub OS);PPIPro;XKCNC-J26Q9-KFHD2-FKTHY-KD72Y;;
TEST MobileCore;MobileCore;R2RFV-BN8G3-4HDWR-R724J-29X6K;;
TEST Embedded;Embedded;4GMNG-VFM4J-88839-4F4JV-3JXY4;;
TEST EmbeddedAutomotive;EmbeddedAutomotive;J2ND2-BCW98-8669Y-HPBF3-RDY99;;
TEST Embedded E;EmbeddedE;29QNM-D667Q-9Q86B-Q93MQ-4F92H;;
TEST EmbeddedIndustry;EmbeddedIndustry;7CNDP-3R3J2-VM48R-Y4DW8-6MRQ7;XY4TQ-CXNVJ-YCT73-HH6R7-R897X;
TEST EmbeddedIndustryA;EmbeddedIndustryA;NJJ9T-Q7C3Y-QGYG2-HMMX7-M4FRK;GN2X2-KXTK6-P92FR-VBB9G-PDJFP;
TEST EmbeddedIndustryE;EmbeddedIndustryE;23N3K-29JDQ-JBQHC-48TKF-2J974;XCNC9-BPK3C-KCCMD-FTDTC-KWY4G;
TEST EmbeddedEval;EmbeddedEval;VV6W8-NF7BJ-FKHGQ-P424D-FHC7K;;
TEST EmbeddedEEval;EmbeddedEEval;VKKC6-NQQQH-JW3QX-XRVKX-KJJK9;;
TEST EmbeddedIndustryEval;EmbeddedIndustryEval;3K92D-PNKHR-WTFHP-27JXM-K74Q6;;
TEST EmbeddedIndustryEEval;EmbeddedIndustryEEval;4TDK2-N89GW-CCCV7-633QX-RM3V2;;
;ServerStandard;HM3NG-HXCBR-B3BCG-X9MVG-GMWVQ;N69G4-B89J2-4G8F4-WWYCC-J464C;
;ServerStandardCore;HM3NG-HXCBR-B3BCG-X9MVG-GMWVQ;N69G4-B89J2-4G8F4-WWYCC-J464C;
;ServerStandardCor;8GTN9-WP4GG-33HFG-7J66H-4C4CT;;
;ServerStandardCorCore;8GTN9-WP4GG-33HFG-7J66H-4C4CT;;
;ServerStandardACor;VFFNY-J46DH-MDD2F-RCFMY-RC4CF;N2KJX-J94YW-TQVFB-DG9YT-724CC;
;ServerStandardACorCore;VFFNY-J46DH-MDD2F-RCFMY-RC4CF;N2KJX-J94YW-TQVFB-DG9YT-724CC;
;ServerStandardNano;69NHX-WQQ7G-QVBPG-4HPQP-8XDB7;;
;ServerStandardNanoCore;69NHX-WQQ7G-QVBPG-4HPQP-8XDB7;;
;ServerStandardEval;X6B8W-TN3XG-6F22Q-RQG6Q-BHCJK;;
;ServerStandardEvalCore;X6B8W-TN3XG-6F22Q-RQG6Q-BHCJK;;
;ServerStandardEvalCor;NX6TT-WH4BH-CJC2P-M98B8-33YPV;;
;ServerStandardEvalCorCore;NX6TT-WH4BH-CJC2P-M98B8-33YPV;;
;ServerDatacenter;NPTRB-CFYFD-DGFPG-DY9GJ-CPR8F;WMDGN-G9PQG-XVVXX-R3X43-63DFG;
;ServerDatacenterCore;NPTRB-CFYFD-DGFPG-DY9GJ-CPR8F;WMDGN-G9PQG-XVVXX-R3X43-63DFG;
;ServerDatacenterCor;DYNQ8-H7BQB-YCF8K-PM77M-PR66D;;
;ServerDatacenterCorCore;DYNQ8-H7BQB-YCF8K-PM77M-PR66D;;
;ServerDatacenterNano;BFM6D-TKNBY-X6RGR-PHJ4G-723B6;;
;ServerDatacenterNanoCore;BFM6D-TKNBY-X6RGR-PHJ4G-723B6;;
;ServerDatacenterACor;NY48Y-K9DDM-VT896-8VW3H-6X2JT;6NMRW-2C8FM-D24W7-TQWMY-CWH2D;
;ServerDatacenterACorCore;NY48Y-K9DDM-VT896-8VW3H-6X2JT;6NMRW-2C8FM-D24W7-TQWMY-CWH2D;
;ServerDatacenterEval;4WX3D-NPGJF-F4X7B-X9PRX-V24CB;;
;ServerDatacenterEvalCore;4WX3D-NPGJF-F4X7B-X9PRX-V24CB;;
;ServerDatacenterEvalCor;84NDK-M3JW4-PHYFH-CM7GR-6Q9TF;;
;ServerDatacenterEvalCorCore;84NDK-M3JW4-PHYFH-CM7GR-6Q9TF;;
;AnalogOneCore;RHDN4-9MKR3-G7WQM-9WKTY-RC28W;;
;CoreSystemServer;6DWFN-9DBPB-99W4C-XYWKQ-VXPFM;;
;ServerArm64;2M3WR-NQW7W-7MX3H-TYCRD-8MBPW;GRFBW-QNDC4-6QBHG-CCK3B-2PR88;
;ServerArm64Core;2M3WR-NQW7W-7MX3H-TYCRD-8MBPW;GRFBW-QNDC4-6QBHG-CCK3B-2PR88;
;ServerAzureCor;2NM93-FP46J-PRBPG-XRR67-MBKR9;FDNH6-VW9RW-BXPJ7-4XTYG-239TB;
;ServerAzureCorCore;2NM93-FP46J-PRBPG-XRR67-MBKR9;FDNH6-VW9RW-BXPJ7-4XTYG-239TB;
;ServerAzureNano;9JQNQ-V8HQ6-PKB8H-GGHRY-R62H6;;
;ServerAzureNanoCore;9JQNQ-V8HQ6-PKB8H-GGHRY-R62H6;;
;ServerHyperCore;Q8R8C-T2W6H-7MGPB-4CQ9R-KR36H;;
;ServerCloudStorage;2FKXD-NHTPX-DC8CF-4HGCG-QYGBV;;
;ServerCloudStorageCore;2FKXD-NHTPX-DC8CF-4HGCG-QYGBV;;
;ServerSolution;NMB98-MKJBC-FTVQ9-J3XK6-QYKTQ;WVDHN-86M7X-466P6-VHXV7-YY726;
;ServerSolutionCore;NMB98-MKJBC-FTVQ9-J3XK6-QYKTQ;WVDHN-86M7X-466P6-VHXV7-YY726;
;ServerStorageStandard;9JFKN-MWC8F-X8PVJ-RG34X-9HD27;;
;ServerStorageStandardCore;9JFKN-MWC8F-X8PVJ-RG34X-9HD27;;
;ServerStorageWorkgroup;T2B3W-RJN32-32HFV-82TKM-K7Y9G;;
;ServerStorageWorkgroupCore;T2B3W-RJN32-32HFV-82TKM-K7Y9G;;
;ServerStorageStandardEval;3HDCN-87G3V-FPCDF-C6HTB-79Q3X;;
;ServerStorageStandardEvalCore;3HDCN-87G3V-FPCDF-C6HTB-79Q3X;;
;ServerStorageWorkgroupEval;NXCTR-YXXWC-TK368-HGGTF-8YB99;;
;ServerStorageWorkgroupEvalCore;NXCTR-YXXWC-TK368-HGGTF-8YB99;;
;ServerWeb;3WN48-GVPXF-VHWK4-29Y8D-KKTD2;;
;ServerWebCore;3WN48-GVPXF-VHWK4-29Y8D-KKTD2;;
;Server2016Datacenter;CB7KF-BWN84-R7R2Y-793K2-8XDDG;;
;Server2016Standard;WC2BQ-8NRM3-FDDYY-2BFGV-KHKQY;;
;Server2016Essentials;CKRF-N37P4-C2D82-9YXRT-4M63B;;
;ServerDatacenterV1709;6Y6KB-N82V8-D8CQV-23MJW-BWTG6;;
;ServerStandardV1709;DPCNP-XQFKJ-BJF7R-FRC8D-GF6G4;;
